eruptions,waiting,predicted_waiting
4.383,82,80.42979379383483
1.883,51,53.349551906521285
4.933,86,86.38744700904381
2.033,53,54.974366419760095
3.733,79,73.38893090313331
4.233,81,78.80497928059602
2.233,60,57.14078577074518
4.533,82,82.05460830707365
4.817,77,85.13092378547246
4.333,76,79.88818895608856
1.983,59,54.432761582013825
4.633,80,83.13781798256619
2.017,49,54.801052871681286
5.1,96,88.19640716711635
1.8,53,52.45048787586247
5.033,77,87.47065668453635
4.0,77,76.28110073669839
2.4,65,58.94974592881772
4.6,81,82.78035878965365
3.567,71,71.59080284181569
4.0,70,76.28110073669839
4.5,81,81.6971491141611
4.083,93,77.18016476735721
1.8,53,52.45048787586247
3.967,89,75.92364154378586
2.2,45,56.78332657783264
4.15,86,77.90591524993721
2.0,58,54.61690722684756
3.833,78,74.47214057862585
3.5,66,70.86505235923569
4.583,76,82.59621314481991
2.367,63,58.59228673590518
5.0,88,87.11319749162382
1.933,52,53.891156744267555
4.617,93,82.96450443448738
1.917,49,53.717843196188745
2.083,57,55.515971257506365
4.583,77,82.59621314481991
3.333,68,69.05609220116314
4.167,81,78.09006089477094
4.333,81,79.88818895608856
4.5,73,81.6971491141611
2.417,50,59.133891573651454
4.0,85,76.28110073669839
4.167,74,78.09006089477094
1.883,55,53.349551906521285
4.583,77,82.59621314481991
4.25,83,78.98912492542975
3.767,83,73.75722219280077
2.033,51,54.974366419760095
4.433,78,80.9713986315811
4.083,84,77.18016476735721
1.833,46,52.80794706877501
4.417,83,80.7980850835023
2.183,55,56.599180932998905
4.8,81,84.94677814063873
1.833,57,52.80794706877501
4.8,76,84.94677814063873
4.1,84,77.36431041219093
3.966,77,75.91280944703094
4.233,81,78.80497928059602
3.5,87,70.86505235923569
4.366,77,80.2456481490011
2.25,51,57.32493141557891
4.667,78,83.50610927223364
2.1,60,55.7001169023401
4.35,82,80.07233460092229
4.133,91,77.72176960510347
1.867,53,53.176238358442475
4.6,78,82.78035878965365
1.783,46,52.26634223102874
4.367,77,80.25648024575602
3.85,84,74.65628622345959
1.933,49,53.891156744267555
4.5,83,81.6971491141611
2.383,71,58.76560028398399
4.7,80,83.86356846514619
1.867,49,53.176238358442475
3.833,75,74.47214057862585
3.417,64,69.96598832857687
4.233,76,78.80497928059602
2.4,53,58.94974592881772
4.8,94,84.94677814063873
2.0,55,54.61690722684756
4.15,76,77.90591524993721
1.867,50,53.176238358442475
4.267,82,79.17327057026348
1.75,54,51.9088830381162
4.483,75,81.51300346932737
4.0,78,76.28110073669839
4.117,79,77.54845605702467
4.083,78,77.18016476735721
4.267,78,79.17327057026348
3.917,70,75.38203670603959
4.55,79,82.23875395190737
4.083,70,77.18016476735721
2.417,54,59.133891573651454
4.183,86,78.26337444284975
2.217,50,56.96747222266637
4.45,90,81.15554427641484
1.883,54,53.349551906521285
1.85,54,52.99209271360874
4.283,77,79.34658411834229
3.95,79,75.73949589895213
2.333,64,58.22399544623772
4.15,75,77.90591524993721
2.35,47,58.40814109107146
4.933,86,86.38744700904381
2.9,63,64.36579430628043
4.583,85,82.59621314481991
3.833,82,74.47214057862585
2.083,57,55.515971257506365
4.367,82,80.25648024575602
2.133,67,56.057576095252635
4.35,74,80.07233460092229
2.2,54,56.78332657783264
4.45,83,81.15554427641484
3.567,73,71.59080284181569
4.5,73,81.6971491141611
4.15,88,77.90591524993721
3.817,80,74.29882703054705
3.917,71,75.38203670603959
4.45,83,81.15554427641484
2.0,56,54.61690722684756
4.283,79,79.34658411834229
4.767,78,84.5893189477262
4.533,84,82.05460830707365
1.85,58,52.99209271360874
4.25,83,78.98912492542975
1.983,43,54.432761582013825
2.25,60,57.32493141557891
4.75,75,84.40517330289246
4.117,81,77.54845605702467
2.15,46,56.24172174008637
4.417,90,80.7980850835023
1.817,46,52.634633520696205
4.467,74,81.33968992124856
